Genes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
Trib2,8.170185653,7.854769183,8.041091004,8.670943791,8.418477218,8.079618029,8.108623268,7.821643126,8.081784207,8.029107055,8.074649075,6.07687349,9.202509793,9.207937487,9.414912538,9.165447603,9.174298601,9.480062119,9.180087329,9.101975347,8.986071187,8.940629185,8.631771096,8.543055851
Fam169b,8.289288323,7.75576717,7.263329617,8.365905077,8.394573478,8.070280893,7.820037989,7.659171368,8.10832229,7.982074875,7.834392303,5.255490096,8.644706512,8.668196065,9.084096645,8.750207863,8.852664928,9.157466882,9.014325488,8.709465079,8.804625233,8.72127624,8.355850041,8.368229038
Cd8b1,2.995732274,4.204692619,1.609437912,4.382026635,1.791759469,0.693147181,2.944438979,3.663561646,2.197224577,3.33220451,1.386294361,2.324072067,9.873286044,9.926373656,10.39304868,10.16639013,10.26639305,10.47390197,10.21625241,10.01382068,9.935179999,9.482578803,9.465370112,9.208438565
Cd3e,2.197224577,3.583518938,0.693147181,0,1.609437912,2.708050201,1.945910149,1.609437912,2.890371758,3.044522438,1.098612289,3.629586728,9.536473631,9.671366322,9.932706491,9.763995574,9.968057323,10.28510386,10.01735181,9.682342004,9.747535251,9.530320211,9.414994034,9.354094336
Fcmr,10.68839316,10.25439087,10.21862671,10.54470966,10.8101521,10.3774832,10.26757496,9.970865788,10.48771233,10.42845274,10.45204239,0.577749928,1.791759469,1.791759469,3.63758616,3.610917913,2.63905733,1.609437912,1.791759469,2.708050201,2.48490665,0.693147181,0,3.135494216
Cd3g,2.079441542,3.433987204,0.693147181,1.098612289,3.091042453,1.791759469,3.135494216,2.48490665,1.791759469,2.302585093,2.48490665,1.854474143,9.928667851,9.979846561,10.35577263,10.15665582,10.17488779,10.40289827,10.12647109,9.940349717,9.894900792,9.525078116,9.439227398,9.287764269
Klra2,1.386294361,3.583518938,1.386294361,1.609437912,1.098612289,2.197224577,3.33220451,3.36729583,0,0.693147181,0.693147181,1.622170911,3.663561646,4.406719247,4.317488114,3.610917913,0.693147181,1.098612289,0.693147181,0,0.693147181,0.693147181,0,0
Dtx1,8.133293861,7.956827122,7.701200181,8.585225602,8.539737156,8.221478947,8.120588712,8.199738961,8.349484347,8.417151837,8.289288323,6.469159064,8.984192312,9.093357016,9.095153962,9.297893269,8.907612341,8.996032669,9.132595023,9.14665482,8.657824321,9.010669177,8.582044164,8.477412321
Hpgd,3.583518938,0.693147181,1.609437912,1.609437912,0.693147181,0.693147181,0,0,0.693147181,0.693147181,0,0,4.077537444,3.258096538,4.574710979,1.791759469,4.477336814,1.386294361,0.693147181,1.945910149,3.044522438,0,1.609437912,1.386294361
Tlr13,2.197224577,2.772588722,2.079441542,2.833213344,3.044522438,3.663561646,0,3.970291914,2.772588722,4.158883083,2.079441542,1.210173048,4.882801923,5.236441963,4.852030264,5.068904202,2.48490665,2.772588722,0.693147181,0.693147181,0,1.098612289,0.693147181,1.098612289
